seed,Lx,K_layers,mean_commutator_norm_adjacent_Umu,max_commutator_norm_adjacent_Umu,mean_abs_delta_lambda_gauge,max_abs_delta_lambda_gauge,gauge_invariant_within_tol,seed_case,lx_case,k_case
20260234,8,20,0.12010617366049275,0.45559735621075315,5.411693500007725e-17,3.885780586188048e-16,True,20260234,8,20
20260234,8,30,0.11907817875800664,0.4916658337658773,5.3925505553997777e-17,4.440892098500626e-16,True,20260234,8,30
20260234,12,10,0.13992612636678392,0.5298973357020511,4.7907279994892823e-17,4.996003610813204e-16,True,20260234,12,10
20260234,12,20,0.12270545159889601,0.49261474977767333,4.853668194356592e-17,3.885780586188048e-16,True,20260234,12,20
20260234,12,30,0.12075517358035287,0.4916658337658773,4.393729303997507e-17,3.3306690738754696e-16,True,20260234,12,30
20260235,6,10,0.14023200469011507,0.5298973357020511,4.718447854656915e-17,4.996003610813204e-16,True,20260235,6,10
20260235,6,20,0.11953970972734097,0.4077578010425246,4.546782510680044e-17,4.440892098500626e-16,True,20260235,6,20
20260235,6,30,0.11882974124578773,0.4916658337658773,6.030874584450618e-17,4.440892098500626e-16,True,20260235,6,30
20260235,8,10,0.14442976702994942,0.5298973357020511,4.966730152156096e-17,3.885780586188048e-16,True,20260235,8,10
20260235,8,20,0.12010617366049275,0.45559735621075315,5.478100883072462e-17,7.216449660063518e-16,True,20260235,8,20
20260235,8,30,0.11907817875800664,0.4916658337658773,5.740850503310746e-17,4.440892098500626e-16,True,20260235,8,30
20260235,12,10,0.13992612636678392,0.5298973357020511,4.3425911015286074e-17,2.498001805406602e-16,True,20260235,12,10
20260235,12,20,0.12270545159889601,0.49261474977767333,5.147927440232736e-17,5.551115123125783e-16,True,20260235,12,20
20260235,12,30,0.12075517358035287,0.4916658337658773,4.7948841078171434e-17,3.3306690738754696e-16,True,20260235,12,30
20260236,6,10,0.14023200469011507,0.5298973357020511,5.097195813578518e-17,2.220446049250313e-16,True,20260236,6,10
20260236,6,20,0.11953970972734097,0.4077578010425246,5.0162420513662674e-17,4.996003610813204e-16,True,20260236,6,20
20260236,6,30,0.11882974124578773,0.4916658337658773,5.1154013750581706e-17,7.771561172376096e-16,True,20260236,6,30
20260236,8,10,0.14442976702994942,0.5298973357020511,4.991666802123262e-17,3.608224830031759e-16,True,20260236,8,10
20260236,8,20,0.12010617366049275,0.45559735621075315,4.1906108032459255e-17,4.996003610813204e-16,True,20260236,8,20
20260236,8,30,0.11907817875800664,0.4916658337658773,4.4642024452090645e-17,4.440892098500626e-16,True,20260236,8,30
20260236,12,10,0.13992612636678392,0.5298973357020511,4.5883435939586546e-17,3.0531133177191805e-16,True,20260236,12,10
20260236,12,20,0.12270545159889601,0.49261474977767333,4.020357180847811e-17,4.440892098500626e-16,True,20260236,12,20
20260236,12,30,0.12075517358035287,0.4916658337658773,4.220595769578728e-17,5.551115123125783e-16,True,20260236,12,30
20260237,6,10,0.14023200469011507,0.5298973357020511,6.534125092845973e-17,4.996003610813204e-16,True,20260237,6,10
20260237,6,20,0.11953970972734097,0.4077578010425246,4.930951480464074e-17,4.718447854656915e-16,True,20260237,6,20
20260237,6,30,0.11882974124578773,0.4916658337658773,6.053236254258132e-17,8.881784197001252e-16,True,20260237,6,30
20260237,8,10,0.14442976702994942,0.5298973357020511,6.552917930502389e-17,5.551115123125783e-16,True,20260237,8,10
20260237,8,20,0.12010617366049275,0.45559735621075315,5.006303531451817e-17,3.3306690738754696e-16,True,20260237,8,20
20260237,8,30,0.11907817875800664,0.4916658337658773,4.8734887653223424e-17,2.220446049250313e-16,True,20260237,8,30
20260237,12,10,0.13992612636678392,0.5298973357020511,5.471606963810179e-17,4.440892098500626e-16,True,20260237,12,10
20260237,12,20,0.12270545159889601,0.49261474977767333,5.262446294701517e-17,6.106226635438361e-16,True,20260237,12,20
20260237,12,30,0.12075517358035287,0.4916658337658773,5.18621332944863e-17,3.3306690738754696e-16,True,20260237,12,30
