subset,model,split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda_h,coef_full_lambda_v
intersection_p90,vertical,2,48,24,0.3828384087452135,0.4457479225240282,-0.16432393495950887,1.6990099417184419,1.678364872464352,-0.033171751118716813,-0.030262658863918043,,13360.991991733044
intersection_p90,combined,0,48,24,0.5929826063785838,0.6495329306122825,-0.09536590723792547,1.6389120982294763,1.6453658303205199,-0.07637391695196527,-0.041496264757756265,78090.73772973519,-93498.01462425175
intersection_p90,combined,1,48,24,0.5593622000517405,0.6640637540101743,-0.18718024555209797,1.8902701614970865,1.8876683656793174,-0.09595415084257447,-0.18989667890396997,-134680.47156923843,164071.64871142613
intersection_p90,combined,2,48,24,0.3828384087452135,0.45632541775737573,-0.1919530729762209,1.6990099417184419,1.6832644740629858,-0.033171751118716813,-0.02310869890675247,13665.776518280749,-2496.5476920156443
non_union,horizontal,0,2980,596,0.7490830508539157,0.739295586539148,0.013065926806910756,-0.3063785271715459,-0.3029387134832995,-0.20473414825598282,-0.20185761720120216,-1660.7366437652163,
non_union,horizontal,1,2980,596,0.6336400556716942,0.6398710406486214,-0.009833634918032717,-0.25758616221266345,-0.254029699446375,-0.1905378245588158,-0.18901469486194195,-2248.443172379187,
non_union,horizontal,2,2980,596,0.6525824258872277,0.6472213489686625,0.008215172070054294,-0.24922239604755353,-0.24807417853236305,-0.18723499925402926,-0.18633535609165736,-1711.279715546046,
non_union,horizontal,3,2980,596,0.7055465887835141,0.70172743530651,0.005413042225295835,-0.18507757263014749,-0.18221464953763866,-0.18833335655899,-0.18747916941985593,-1910.1689778906778,
non_union,horizontal,4,2980,596,0.6839988473127856,0.6807784392416423,0.004708206868755079,-0.20548360578368746,-0.20249660100646844,-0.1944187564580368,-0.19394303267110805,-1724.604065599575,
non_union,horizontal,5,2980,596,0.8018504414565225,0.7883336624542211,0.01685698267838075,-0.1369547046354677,-0.13797424806049763,-0.1810503228096528,-0.182982378652888,-1578.959283178906,
non_union,vertical,0,2980,596,0.7490830508539157,0.7394870676752857,0.012810306103813514,-0.3063785271715459,-0.3029048312123753,-0.20473414825598282,-0.20204828975041597,,-1897.240434978367
non_union,vertical,1,2980,596,0.6336400556716942,0.6396685135360025,-0.009514010060346105,-0.25758616221266345,-0.25394358108447607,-0.1905378245588158,-0.18938995360019653,,-2524.1413527927452
non_union,vertical,2,2980,596,0.6525824258872277,0.6473921556386667,0.007953432459503553,-0.24922239604755353,-0.24797308407320215,-0.18723499925402926,-0.18668302810769685,,-1925.967312603428
non_union,vertical,3,2980,596,0.7055465887835141,0.7020976005384725,0.004888391921762893,-0.18507757263014749,-0.18213997803478163,-0.18833335655899,-0.1878807382567922,,-2132.3256108423166
non_union,vertical,4,2980,596,0.6839988473127856,0.6808967058450681,0.004535302186400273,-0.20548360578368746,-0.20246965622598165,-0.1944187564580368,-0.19426837945093928,,-1936.2607363518784
non_union,vertical,5,2980,596,0.8018504414565225,0.7893531553368021,0.015585557447601015,-0.1369547046354677,-0.1378037280335462,-0.1810503228096528,-0.1830909970558605,,-1779.5130436894908
non_union,combined,0,2980,596,0.7490830508539157,0.7409222708596424,0.010894359423777615,-0.3063785271715459,-0.3036158840977387,-0.20473414825598282,-0.2014018815674028,-9160.141643212302,8853.674216678392
non_union,combined,1,2980,596,0.6336400556716942,0.6400005402110676,-0.010038008933353831,-0.25758616221266345,-0.25454241063633015,-0.1905378245588158,-0.18811970570386827,-8152.092299333629,6826.135219216993
non_union,combined,2,2980,596,0.6525824258872277,0.647325787338522,0.008055133482258482,-0.24922239604755353,-0.2484554589655677,-0.18723499925402926,-0.18542847315001548,-6401.648770340131,5439.426232566267
non_union,combined,3,2980,596,0.7055465887835141,0.7009072098429672,0.006575581278820179,-0.18507757263014749,-0.18252538947876432,-0.18833335655899,-0.18663612994233503,-6030.019051515125,4707.652345480514
non_union,combined,4,2980,596,0.6839988473127856,0.6806232473481838,0.004935095984238161,-0.20548360578368746,-0.20289653881694805,-0.1944187564580368,-0.19293595091607327,-7146.332349685803,6289.638685741951
non_union,combined,5,2980,596,0.8018504414565225,0.7873955644699271,0.018026899081480596,-0.1369547046354677,-0.13814620605697342,-0.1810503228096528,-0.18282152748681216,-3327.5141461773574,2006.0245749033938
